correct,count
,7500
c,6895
b,6523
d,6267
a,6228
e,4934
C,222
D,220
B,210
4,185
6,185
5,173
10,169
A,165
3,153
2,148
E,148
20,143
8,132
12,131
30,122
15,119
9,112
7,94
40,92
60,90
50,88
18,87
14,86
25,79
16,79
24,77
21,74
11,70
36,69
100,66
80,66
45,61
22,60
32,55
90,52
35,52
1,52
200,52
150,50
28,48
13,48
17,46
120,46
48,45
27,44
70,41
26,40
180,40
72,40
300,40
75,38
160,37
42,36
54,36
19,34
33,32
96,32
240,32
55,28
600,28
140,26
23,26
400,25
34,25
44,25
64,25
110,25
250,24
56,23
39,23
84,23
52,22
65,22
480,20
66,20
135,20
130,20
46,19
360,19
49,19
38,19
1000,18
1500,18
220,18
2000,18
210,17
88,17
450,17
1200,17
41,17
29,16
51,16
78,16
800,16
85,16
108,16
31,15
900,15
320,15
500,14
95,14
63,14
350,13
105,13
58,13
270,13
125,13
53,12
112,12
99,12
62,12
280,11
700,11
43,11
37,11
76,10
1800,10
168,10
1600,10
3000,10
57,10
1400,10
750,9
68,9
260,9
61,9
77,9
97,9
83,9
67,9
375,9
2400,8
81,8
121,8
92,8
144,8
59,8
216,8
225,8
195,8
136,8
115,8
4000,8
720,8
114,8
840,7
2100,7
47,7
175,7
126,7
132,7
86,7
255,7
230,7
640,7
79,7
660,7
540,7
310,7
69,7
245,7
420,7
190,7
330,6
960,6
650,6
2800,6
91,6
94,6
0,6
1050,6
71,6
145,6
3600,6
82,6
170,6
12000,6
196,6
1900,6
74,6
148,5
113,5
7200,5
6000,5
1920,5
2500,5
4500,5
117,5
128,5
315,5
570,5
680,5
4800,5
116,5
390,5
520,5
370,5
525,5
8000,5
14400,5
2600,5
294,4
288,4
124,4
16000,4
93,4
290,4
205,4
340,4
165,4
325,4
156,4
770,4
780,4
630,4
5000,4
258,4
192,4
102,4
1260,4
104,4
1300,4
204,4
142,4
1250,4
1350,4
134,4
625,4
198,4
920,4
20000,4
224,3
1700,3
22000,3
1440,3
162,3
264,3
3200,3
10000,3
730,3
\(\frac{1}{2}\),3
171,3
146,3
.75,3
143,3
1825,3
248,3
345,3
275,3
14000,3
256,3
810,3
"1,200",3
3450,3
768,3
2200,3
184,3
119,3
307,3
73,3
155,3
98,3
297,3
504,3
179,3
232,3
10800,3
2700,3
550,3
118,3
2340,3
675,3
355,3
89,3
2240,3
1100,3
36000,3
432,3
3500,3
1140,3
760,3
123,3
384,2
100000,2
138,2
1450,2
154,2
565,2
24000,2
1980,2
18300,2
220000,2
153,2
"40,000",2
250000,2
405,2
670,2
285,2
460,2
2040,2
1530,2
349,2
299,2
6600,2
13600,2
201,2
208,2
48000,2
252,2
185,2
56000,2
42000,2
122,2
338,2
775,2
1890,2
16800,2
850,2
476,2
106,2
1640,2
236,2
159,2
363,2
4680,2
477,2
1360,2
129,2
396,2
90000,2
740,2
144000,2
322,2
1152,2
468,2
163,2
1040,2
21600,2
1320,2
106000,2
344,2
2900,2
825,2
157,2
99000,2
273,2
265,2
2160,2
237,2
188,2
605,2
580,2
9500,2
186,2
1080,2
18000,2
410,2
1020,2
828,2
304,2
980,2
357,2
231,2
9400,2
1750,2
305,2
8800,2
266,2
215,2
2250,2
7800,2
336,2
407,2
32000,2
600000,2
38000,2
"2,000",2
140000,2
111,2
354,2
475,2
1330,2
1280,2
60000,2
296,2
595,2
7.5,2
235,2
11000,2
"100,000",2
50000,2
234,2
490,2
380,2
812,2
2.25,2
1670,2
2280,2
5400,2
131,2
212,2
19200,2
295,2
1172,2
57600,2
2475,1
817,1
558,1
7060,1
2888,1
"3,888",1
270000,1
10400,1
1680,1
"35,200",1
1244,1
736,1
3520,1
1550,1
9724,1
426000,1
208000,1
3760,1
482,1
"5,000",1
207,1
178,1
859,1
1068,1
1568,1
1274,1
495,1
209,1
45000,1
24500,1
326,1
94000,1
6240,1
1036,1
465,1
1520,1
1075,1
120000,1
2175,1
32400,1
96000,1
177,1
\(\frac { 5 } { 4 } \),1
26400,1
"1,080",1
664,1
"150,000",1
15525,1
15000,1
567,1
1979,1
203,1
166,1
7000,1
253,1
183,1
990,1
436,1
271,1
426,1
5122,1
905,1
3240,1
221,1
552,1
9220,1
1990,1
572,1
"20,000",1
164,1
4200,1
7100,1
8960,1
84000,1
.583,1
448000,1
4104,1
"2,500",1
0.72,1
616,1
874,1
820,1
1820,1
706,1
365,1
356,1
"28,800",1
836,1
"2,520,000",1
448,1
"165,000",1
30000,1
2350,1
2220,1
46166,1
125000,1
"27,000",1
147,1
58000,1
2412,1
2304,1
134400,1
1680000,1
3440,1
2210,1
"4,096",1
864,1
705,1
655502,1
868,1
1104,1
526,1
3900,1
"24,960",1
588,1
"6,000",1
283,1
1600000,1
742,1
860,1
1120,1
25200,1
4380,1
8500,1
648,1
8798,1
9144,1
\(\frac{7}{5}\),1
3564,1
9000,1
"27,200",1
1620000,1
15890,1
5950,1
546,1
27201,1
7425,1
45500,1
87,1
815,1
4160,1
537,1
25000,1
319,1
2460,1
5100,1
3500000,1
23248,1
2950,1
"90,000",1
109,1
265000,1
152,1
7680,1
404,1
1056,1
62400,1
675000,1
5040,1
34560,1
638,1
"54,000",1
1234,1
83200,1
11026,1
574,1
371,1
7600,1
4830,1
2928,1
5500,1
347,1
3214,1
167,1
1944,1
1150,1
1145,1
472,1
16320,1
197,1
1423,1
975,1
1563,1
2050,1
276,1
"47,000",1
301,1
135000,1
306,1
9600,1
573,1
108000,1
"3,890",1
"3,380",1
20655,1
324,1
314,1
1955,1
9900,1
1860000,1
328,1
3400,1
1525,1
"1,152",1
"109,200,000",1
3982,1
377050,1
440,1
5120,1
206,1
438,1
1588,1
"9,492",1
690,1
867,1
"6,600",1
"200,000",1
1480,1
278,1
31840,1
20800,1
10200,1
1490,1
484,1
7520,1
308,1
189,1
4400,1
13140,1
3275,1
1210,1
1124,1
510,1
1290,1
790,1
3750000,1
37500,1
4914,1
87.5,1
"1,000,000",1
672,1
6400,1
"16,800,000",1
3061,1
13000,1
\(\frac{15}{4}\),1
"(0, 0.125)",1
"10,100",1
1110,1
"12,000",1
9975,1
364,1
900000,1
21000,1
192 OR 480 OR 960,1
3600000,1
375000,1
3456 OR 5400 OR 9600,1
2020,1
58.6,1
9080,1
"9,450",1
\(\frac { 24 } { 5 } \) OR 4.8,1
486,1
249,1
1.333,1
\(\frac{1}{10}\),1
"86,400",1
"9,000",1
369,1
1660,1
\(\frac { 20 } { 3 } \),1
11880,1
103,1
199,1
"4,000",1
.8,1
-47,1
0.6,1
"2,250",1
3700,1
936,1
360000,1
175000,1
9474,1
"30,000",1
223,1
222,1
5250,1
247,1
"11,800",1
306 OR 324 OR 342 OR 360 OR 378 OR 396,1
6230,1
2.4,1
4.55,1
3 OR 4 OR 5,1
6657,1
2802,1
10080,1
445,1
"2,950",1
"60,000",1
"(0.083333333, 0.333333334)",1
752,1
\(\frac { 1 } { 3 } \),1
1.21,1
6.11,1
4.6,1
2.667,1
\(\frac{14}{3}\),1
620,1
3 OR 6 OR 9,1
1.25,1
"(4, 6) OR 4 OR 6",1
1940,1
8640,1
"845,640",1
4840,1
122 OR 182 OR 242,1
1035,1
"9,240",1
19.5,1
284,1
11860,1
5.5,1
.3333,1
228,1
158000,1
.2,1
5225,1
0.625,1
\(\frac{32}{9}\),1
"3,400",1
1085,1
1860,1
\(\frac{4}{3}\),1
348,1
1740,1
28000,1
1340,1
72600,1
3750,1
6716,1
\(\frac{11}{2}\),1
92.5,1
1220,1
2089,1
8.5,1
13.33,1
4100,1
2544,1
560,1
584,1
1650,1
21 or 28,1
715,1
530,1
"(2, 6)",1
3030,1
8100,1
554,1
"3,472",1
2.33,1
127,1
259200,1
\(\frac{1}{5}\),1
168000,1
832,1
\(\frac{36}{5}\),1
254,1
\(\frac{9}{7}\),1
312,1
29 OR 30 OR 31 OR 32 OR 33 OR 34,1
18400,1
"2,317",1
1591,1
14600,1
11250,1
2215,1
1158,1
\(\frac{5}{6}\),1
687,1
760000,1
12423,1
430,1
107,1
0.8,1
370000,1
"9,050",1
"12,200",1
872,1
1840,1
214,1
6284,1
1316,1
15400,1
"(0, 1.3334)",1
2913,1
4625,1
"285,000",1
"3,000",1
1728,1
"15,620",1
1008,1
4248,1
8900,1
25550,1
445000,1
1344,1
551,1
6 or 8,1
\(\frac{5}{3}\),1
9200,1
194,1
2 or 10,1
796,1
"210,000",1
12500,1
49200,1
172,1
"132,000",1
"885,000",1
147700,1
"174,000",1
3840,1
960000,1
"520,000",1
226,1
"1,575,000",1
502,1
918,1
673,1
1065,1
983,1
7500,1
12834,1
46000,1
442,1
485,1
216000,1
6318,1
3360,1
342,1
15600,1
852,1
1886,1
-12,1
5844,1
\(\frac{5}{24}\),1
513,1
211,1
101,1
"28,980",1
274,1
3.7,1
1.2,1
25600000,1
31250,1
27048,1
413,1
72000,1
11 OR 12 OR 13,1
169,1
2934,1
12690,1
586,1
950,1
161,1
192000000,1
11200,1
38400,1
4096,1
17600,1
"1,600",1
92000,1
-7,1
"850,000",1
333200,1
51700,1
25332,1
12100,1
3285,1
352,1
1045,1
1125,1
2870,1
"59,616",1
768000,1
392,1
\(\frac{7}{15}\),1
868000,1
2290,1
"(60, 69)",1
624,1
"(0, 6)",1
"10,000",1
728,1
401,1
632,1
213,1
4608,1
78400,1
725,1
"1,800",1
